OverallQual,GarageArea,TotalBsmtSF,YearRemodAdd
5,368,1050,1961
4,432,960,1965
5,280,810,1950
6,462,1489,1968
7,786,1726,2007
7,484,1362,2003
7,484,1309,1990
8,1069,1284,1998
7,660,879,2006
5,396,768,2007
1,0,0,1950
6,384,1136,1965
6,405,1237,1998
5,288,912,1964
5,264,864,1962
5,240,720,1997
5,0,658,1996
7,308,925,1950
5,624,1063,2002
6,576,1422,1981
5,576,1632,1967
7,451,1630,2001
3,0,1013,1982
4,420,0,1950
6,216,806,1950
4,576,1122,1950
6,418,1416,1953
8,868,1482,2007
6,520,764,1950
6,520,1248,1964
6,440,958,1976
6,370,833,2000
4,490,1281,1993
6,400,1158,1992
6,220,735,1950
5,288,892,1967
5,240,788,1992
5,0,1140,2006
6,483,780,1963
6,551,848,1976
10,812,1017,2008
5,216,691,1950
8,676,768,2008
6,325,994,1972
7,442,994,1999
7,543,884,2003
10,807,1930,1996
6,403,1298,1985
7,484,1501,1997
5,0,630,1970
6,440,1103,1980
4,384,859,1950
4,440,1196,1990
7,529,1372,2008
6,296,1099,1962
7,626,1422,2004
6,501,1580,1992
4,440,1121,2004
8,852,1143,2005
5,576,1057,1962
5,602,1097,1978
8,671,1152,2007
9,746,2002,2009
6,440,672,1978
8,1043,1082,2006
8,462,1337,1993
8,648,969,2000
8,826,1705,2008
5,484,1024,1966
7,660,1373,2007
7,567,1902,2002
7,693,1216,1991
5,528,1086,1979
6,460,1054,1969
8,676,1225,1999
5,288,876,1967
7,484,845,1980
6,299,689,1977
5,576,1109,1995
5,240,1208,1982
6,208,862,1950
6,502,611,1999
7,429,975,1999
4,250,649,1950
8,928,1734,2007
6,312,1194,1959
5,720,876,1950
5,354,1383,1954
5,871,1001,1950
8,474,1496,2007
5,660,984,1960
5,504,680,2004
6,476,741,1985
7,840,1494,2007
6,180,960,1950
7,397,1145,2006
6,0,742,2001
6,525,819,1958
5,686,650,2002
9,656,1122,2007
4,528,600,1953
7,583,1108,1998
10,884,3138,2008
6,624,698,2000
4,0,720,1950
8,830,1580,2008
4,0,1440,1977
6,540,738,2005
7,570,1500,2004
5,216,884,1997
5,884,864,1998
6,514,1394,1963
6,484,800,2000
5,336,912,1967
6,864,1370,1950
5,349,1140,1962
5,440,440,1981
8,440,853,1994
6,429,728,2006
4,660,864,1970
6,380,970,2006
8,528,810,2001
7,656,1347,1993
7,595,798,2003
3,420,978,1970
4,529,1364,1994
5,504,1728,1963
6,462,1055,1992
6,440,822,1993
8,776,1489,2006
6,300,864,1959
5,276,1256,1965
5,816,816,2003
7,492,864,1988
7,833,1104,1991
5,461,1065,1960
6,312,1200,1950
7,632,1187,2006
8,642,1094,2006
7,527,1720,1996
5,0,672,1950
6,496,1278,1991
5,450,1090,2006
8,420,1141,1998
5,440,969,1975
3,1248,894,1950
5,360,1008,1950
6,492,979,1950
8,895,1795,2007
9,606,1930,2010
5,439,1176,2000
6,400,672,1950
7,554,1417,2008
5,338,864,1972
5,200,616,1950
6,420,680,1993
6,440,1116,1962
6,288,864,1959
5,498,1297,1990
5,264,1113,2007
7,577,1490,1999
7,614,756,2009
7,678,991,2005
8,908,1709,2006
6,440,1010,1971
7,455,1117,1997
7,388,1266,2007
9,716,1992,2006
7,554,952,2000
7,494,1414,2004
6,471,928,1994
6,434,713,1975
4,528,698,1950
6,358,1096,1977
6,574,1728,1976
8,711,1629,2005
5,452,1437,2003
7,400,1156,1991
7,400,856,2005
8,484,1370,2006
6,480,1680,1976
7,380,970,2004
6,264,483,1971
7,216,793,1950
6,360,952,1950
6,264,1059,2003
6,533,1604,1994
6,336,1244,1957
4,252,700,1950
7,480,600,2005
6,612,1686,1980
8,800,1638,2008
5,264,864,1983
7,639,939,2006
4,462,0,1962
7,839,992,2000
5,308,1056,1992
9,820,1926,2009
6,492,506,1995
8,636,1686,2005
6,413,802,1997
5,246,1057,2007
4,560,777,1950
7,786,1204,1988
7,594,1673,1990
7,512,880,1996
6,457,1372,1967
7,437,1346,2006
8,648,1053,2004
7,462,600,2000
5,264,999,2001
4,528,622,1950
6,490,1127,1966
9,702,1626,2002
8,853,1158,2006
5,352,540,1950
6,388,794,1997
7,532,1541,2005
4,0,1440,1955
7,438,868,2003
8,481,1494,1996
9,738,1462,2005
5,186,731,1950
8,683,1028,1999
6,540,816,1978
7,504,1064,1987
8,550,1324,2006
6,330,912,1950
6,440,1314,2006
6,529,1575,1992
9,912,1620,2008
4,304,1104,1989
6,240,814,1966
6,500,1542,1988
8,492,776,2000
7,225,815,1950
5,576,1188,1987
7,508,1568,2003
5,0,864,1950
5,336,536,1976
7,746,700,1991
4,210,686,1950
4,216,656,2007
6,384,698,2003
9,834,1856,2010
8,789,1582,2007
6,529,1602,2000
5,280,630,1971
6,393,783,2003
5,352,912,1962
6,420,1004,1950
6,576,1181,1950
4,220,747,1950
4,420,0,1950
7,493,831,2002
5,308,1026,1950
5,720,864,2002
6,264,744,1984
7,564,963,2001
7,474,764,2003
8,472,1476,2006
7,870,1470,2002
9,840,1652,2007
5,350,1276,1958
6,271,856,2005
4,0,720,1950
5,504,840,1983
7,454,1157,1989
5,392,0,2007
7,532,728,1993
5,336,264,1976
6,216,684,1993
3,379,840,1950
10,900,2006,2009
7,528,625,2007
8,757,1624,1995
4,360,845,2006
5,418,1389,1975
5,480,968,2006
4,286,546,1970
6,420,848,2004
5,308,1269,1960
5,288,1092,1962
7,539,795,1994
4,283,952,1956
4,0,736,2008
5,504,1039,1965
6,412,1204,1998
6,672,1029,1976
7,701,2158,1991
5,328,985,1977
8,880,3206,2004
7,216,861,1950
5,484,980,1977
7,590,1095,2000
6,180,602,1996
6,432,697,1966
8,836,1034,2008
2,0,264,1950
8,840,1573,2009
8,774,1932,2008
5,404,1075,1960
5,280,882,1967
10,786,1700,2007
5,240,636,1991
7,834,1379,1997
8,680,774,2010
7,532,1536,2003
3,200,864,1950
8,546,3200,1993
7,670,1434,2003
7,864,1240,2003
7,530,1304,1970
8,878,1030,2005
5,360,864,1965
5,530,784,1969
6,480,1040,1985
6,528,684,2000
5,451,1052,1958
5,576,1728,1965
8,577,1128,2002
6,297,1196,1956
5,360,720,1950
5,462,780,1969
8,1134,2077,2006
9,617,1869,2007
7,431,930,1999
2,308,480,1950
4,516,0,1967
4,288,816,1958
7,478,1271,1978
6,451,936,2000
8,796,1338,1993
5,796,1144,1959
5,621,612,1998
6,312,972,1950
5,624,970,1963
7,513,2136,1965
6,440,1026,2005
5,0,698,2008
7,576,1533,1975
5,660,720,1950
7,530,1391,2004
5,240,1078,1996
8,471,1267,2002
6,301,1442,1958
5,0,940,1950
7,644,1502,2009
6,458,1392,1957
4,0,1768,1968
5,390,1624,1964
6,301,958,1998
5,600,894,1972
6,402,1224,1999
10,846,1682,2008
8,430,1256,2005
8,712,1732,2007
6,390,728,2006
6,539,655,1959
5,240,1008,2006
7,430,1373,2006
5,180,747,1950
7,280,637,1950
5,400,384,2007
7,496,980,1988
5,294,0,1959
3,0,728,1966
6,288,626,1980
5,299,990,1994
8,691,1117,2005
6,420,848,2003
6,300,672,1950
6,676,1218,2009
6,672,588,1994
8,550,1247,2005
6,619,1330,1995
8,482,1600,2008
6,546,1844,1977
7,689,1113,2005
6,463,982,2000
7,574,1050,1994
4,0,630,1972
7,530,1494,2002
3,0,600,1950
7,508,1274,2007
6,364,1156,1972
6,528,660,1977
7,393,783,2003
7,550,793,1976
6,0,816,1990
7,555,1176,2003
4,548,941,1972
6,528,1080,1960
5,240,768,2006
8,818,1694,2007
8,765,1800,2002
5,560,662,1950
6,315,1040,1950
6,576,940,1978
5,408,876,1966
5,484,1126,1977
8,872,1136,2004
6,540,938,1969
5,288,1052,1968
6,0,572,1950
6,484,1141,2005
6,484,732,1972
8,660,1004,2000
6,0,520,1982
5,513,624,1950
7,576,1947,1989
6,360,907,1997
8,831,1142,1996
7,484,1364,2005
7,402,1237,1996
6,528,1328,1963
5,286,978,1978
7,486,768,1990
6,192,952,1950
8,500,1660,2006
9,1166,2216,2009
6,160,768,1950
7,396,1340,2007
6,480,1610,2001
5,600,1361,1977
7,438,1248,2006
6,288,912,1996
6,472,943,1998
4,1356,1249,1975
6,180,1028,2002
5,456,1144,1961
5,281,793,2000
6,472,1516,1964
7,675,1498,2006
6,560,804,2002
7,440,728,2006
7,349,1032,1950
9,708,1896,2004
7,474,1368,2006
7,588,873,1999
9,858,1452,2008
5,312,720,1950
7,604,1845,1988
7,577,1190,1984
6,546,794,1998
7,436,1302,2007
8,542,2524,1981
4,338,840,1950
7,474,764,2004
5,240,735,1950
8,588,1518,2004
7,240,1040,1950
7,598,1649,1998
6,432,854,1950
7,324,650,1988
8,564,1742,1985
5,280,686,1950
6,528,816,1950
8,506,908,1992
6,240,940,2000
6,377,992,1996
8,552,832,2009
8,534,1777,2002
7,434,847,2004
5,336,1051,1968
6,440,855,1978
7,431,798,2006
8,880,1868,2006
8,665,1565,1976
7,663,814,2000
5,0,974,1992
8,586,1065,2002
7,678,1080,1993
7,500,1424,1990
5,720,1120,1950
7,240,1026,1950
6,583,689,1972
8,666,1234,2006
5,0,780,1996
4,779,1095,1950
1,0,683,1950
7,490,673,2000
10,840,1107,1993
6,205,1008,1950
6,373,806,1996
7,739,1643,2002
5,304,1056,1968
5,392,784,1950
6,504,1362,1961
6,420,848,2004
7,527,1454,2001
7,628,1208,2007
5,566,796,1989
8,691,1986,1994
7,983,1311,1994
7,626,1314,2008
7,380,970,2004
6,0,672,1971
6,0,1440,1995
5,0,1200,1988
5,297,912,1985
10,832,2444,1995
7,548,856,2003
8,656,1181,2004
7,234,704,1950
5,528,1466,1959
6,292,1383,1960
5,410,0,1979
5,576,990,1995
7,240,918,1950
6,440,1020,1950
7,550,539,1979
8,541,1683,2000
6,576,952,1969
4,240,672,1950
7,480,600,2005
5,468,672,1997
7,500,840,2003
3,400,0,1950
5,576,900,2000
5,812,1559,1973
4,248,864,1954
6,264,923,1980
7,782,1552,2006
7,642,756,1970
5,440,1461,1993
6,264,483,1973
6,521,1200,1995
5,281,768,2008
5,336,894,2009
5,336,0,2006
7,528,1053,1974
5,576,1063,2006
4,459,1051,1979
7,721,1203,1995
6,297,1215,1998
8,844,1165,1994
7,480,600,2005
5,560,1728,1976
7,480,576,1950
8,870,1396,1998
7,457,996,2003
7,562,813,2007
7,792,1264,2007
4,528,864,1971
4,234,672,1950
5,564,1164,1966
6,440,1078,1976
7,550,1710,2005
5,502,1219,1999
8,400,1273,2003
5,576,927,1950
7,766,1907,1989
5,0,1008,1950
5,0,0,1954
7,484,1107,1973
5,461,1214,1965
5,454,1763,1974
8,808,1616,2003
8,627,1554,2006
7,642,964,1997
4,0,796,1950
6,308,840,1976
6,420,848,2003
5,528,1142,1976
6,564,1602,1975
9,564,1684,2005
8,888,2000,2005
7,834,1616,2005
8,531,1299,2001
5,225,1042,1950
7,575,807,1989
5,276,876,1950
8,620,1844,2006
6,528,1258,2004
8,500,1260,1996
8,866,1626,2006
6,440,855,1974
8,403,707,2004
7,478,1504,1996
7,690,1670,2006
7,518,1192,2003
6,440,1069,1977
6,525,547,2006
5,995,1572,1963
5,456,1088,1996
4,0,882,1956
9,676,1922,2006
5,352,780,1972
5,300,533,1987
7,430,1530,2005
5,0,833,1985
3,308,649,2002
5,260,1040,2010
8,1052,1466,2007
6,288,1032,1950
5,305,1246,1994
6,180,884,2004
5,416,686,1950
5,288,832,1950
6,342,896,1950
7,484,1358,2010
6,484,1657,1970
6,275,816,2000
7,390,992,1999
7,474,764,2004
6,299,663,1969
5,240,768,1950
6,240,715,1995
6,432,616,2007
6,216,756,1995
7,400,384,2000
6,495,1094,1953
8,758,1814,2006
5,576,672,2006
8,528,1488,1985
6,603,616,1997
6,572,1262,2006
9,788,1905,2006
7,541,1153,1999
6,478,1064,1974
7,613,941,2003
5,300,828,1965
4,280,672,1950
8,905,1055,2002
6,540,1127,1986
7,528,1242,1973
4,240,884,1995
7,434,884,2001
6,516,1232,1984
7,483,803,1976
4,0,576,2004
5,450,894,2003
6,619,1054,1984
5,396,768,2003
4,0,0,1950
5,504,1040,1969
5,576,1040,1996
6,216,1149,2004
4,273,641,1995
5,484,1134,2000
6,528,832,1954
5,384,894,1966
5,189,596,1950
9,772,1833,2005
5,288,864,2004
5,264,864,1966
6,506,1214,1998
5,360,849,1965
6,470,926,1998
7,422,868,2006
5,308,938,1980
7,216,912,1998
5,400,928,1950
5,260,1098,1955
3,0,270,2003
6,528,1252,1959
5,792,1584,1967
9,592,1498,2008
9,506,1698,2000
5,299,1092,1957
9,758,1746,2007
7,667,1304,1953
5,200,768,1950
5,270,1041,1959
8,431,967,2002
6,390,1010,2002
5,180,715,1993
5,364,1216,2002
6,714,1567,1977
9,1020,1734,2009
7,360,689,2005
4,368,715,2007
6,521,1151,1989
5,286,936,1954
7,440,840,2004
5,338,1050,1956
6,576,1114,2004
5,750,1008,1991
8,682,1593,2002
5,318,1214,1967
5,264,816,2008
5,400,0,1979
8,795,1360,1990
8,685,1079,2006
5,672,1097,1995
6,423,983,1985
6,288,483,1972
6,576,981,1971
5,447,1398,1959
5,308,816,1957
7,622,944,2001
6,576,942,1973
5,902,1002,1970
4,294,721,1950
6,564,936,1992
8,856,1713,2005
6,576,1392,1988
6,923,912,1996
4,648,1064,1963
8,608,1595,1996
6,601,1184,2002
7,576,975,1998
5,490,1086,2003
5,528,1324,2004
5,624,768,1970
6,676,1161,2006
8,647,1284,2002
3,287,0,1950
6,520,1510,1950
4,576,936,1953
4,588,1138,1972
7,954,1689,2007
4,280,948,1954
6,440,756,2000
5,450,894,1968
7,644,900,2009
4,290,0,1957
3,0,544,2006
8,666,2033,1996
7,632,1232,2007
7,528,1164,1969
5,160,912,1950
5,572,747,1950
6,440,860,2002
4,286,546,1970
4,400,894,1954
7,558,1453,2003
5,270,1060,2001
7,484,1436,2004
5,504,540,1952
7,320,880,1970
6,432,816,2007
7,400,384,2000
5,303,1617,1993
7,648,1356,2006
4,312,1100,1960
5,264,816,1982
5,308,1350,1959
10,842,1722,2008
5,572,864,1990
7,453,1257,2005
4,0,858,1971
6,506,832,1993
4,264,732,1950
6,460,953,2000
5,288,864,1968
8,522,1753,2001
6,416,1477,2004
5,484,780,1976
5,588,1626,2005
6,462,561,1980
8,890,1566,2007
6,460,916,1997
5,240,896,1950
5,540,1126,1977
5,264,876,1985
5,205,616,1950
5,0,1800,1961
6,505,1505,1953
5,621,1430,1977
4,451,1132,2005
6,470,928,1997
4,240,0,1950
6,336,804,1990
7,457,1346,2006
3,220,1162,2005
6,440,756,2000
5,288,935,1965
6,270,813,2005
5,230,896,2002
7,514,1475,1990
5,282,910,1950
7,528,832,1976
7,522,2110,1968
6,684,824,1997
5,336,757,1977
5,256,811,1954
7,380,976,2004
6,440,912,1981
5,520,954,1970
7,493,915,1995
5,506,931,1980
7,573,1212,2001
7,672,952,2007
5,384,980,1967
6,470,1073,2004
4,384,1056,1966
8,484,1234,2007
5,440,630,1970
6,0,319,1950
5,576,858,1982
9,736,1175,2006
5,414,105,1996
6,442,780,1964
6,400,684,2005
5,630,0,1977
8,582,1338,2001
5,312,1188,1962
7,527,1459,2002
7,533,1306,1997
7,605,1413,2002
5,0,996,1969
6,504,1092,1964
7,625,625,2007
7,572,864,2004
5,280,924,1975
6,530,1199,1993
5,300,948,1968
5,429,925,1965
5,366,458,1950
8,610,1580,2005
7,487,924,1966
5,572,1040,1976
10,804,2633,2002
5,280,993,1950
6,460,953,2000
6,360,784,1950
6,473,1196,1977
4,284,1134,1956
5,244,1268,1954
7,480,1428,2008
6,352,1041,1976
5,275,1008,1954
8,860,1622,2008
6,673,864,2003
5,322,952,1968
5,286,1040,1959
8,511,1686,1981
7,462,935,1998
5,528,1392,1996
5,270,608,1953
6,390,742,2005
5,300,971,1969
6,539,1029,1976
6,0,945,1975
7,478,1405,2003
6,472,959,2000
5,495,1056,1975
5,672,0,1950
6,264,918,1979
5,528,1437,2004
6,440,1069,1977
6,441,727,1968
7,510,817,2003
8,895,1935,2006
7,564,710,2007
6,420,848,2004
7,400,384,1996
5,260,1056,2005
5,484,864,1983
6,564,1032,1978
5,338,961,1950
5,480,1235,1961
7,719,910,1991
6,264,483,1971
6,504,975,1977
5,0,1006,1959
5,0,780,2000
7,565,860,2004
4,308,960,1950
7,660,1604,2006
8,621,2217,1970
6,540,1844,1969
6,380,799,1994
7,577,1468,2000
5,529,1499,1965
6,338,1240,1988
8,578,866,2007
5,299,1096,1969
7,542,791,1991
6,453,660,1966
7,410,728,2005
5,319,1484,1997
6,544,1682,2003
6,389,808,1993
5,288,1008,2000
6,440,855,1978
8,866,1710,2008
7,463,948,2002
6,475,725,2005
7,367,723,1998
7,426,654,2006
8,648,1520,2006
5,308,980,1952
8,753,1085,2006
8,750,1453,1990
8,696,1470,1998
5,480,1105,1960
6,433,1261,1958
5,480,1486,1999
5,240,773,1953
6,462,1319,2005
7,546,866,1998
4,0,950,1959
6,420,848,2003
6,198,780,1950
6,440,729,1999
4,0,440,1958
6,440,729,1999
5,440,864,1974
7,427,832,1998
5,611,1390,1981
4,576,864,1972
6,512,528,1994
6,616,1606,1986
6,528,612,2009
5,288,928,1957
4,0,0,1950
7,546,728,1990
6,776,708,1968
8,736,1058,2005
5,308,936,2000
6,452,716,1980
4,400,864,1951
7,900,1654,2002
5,576,816,2007
8,856,1252,1999
4,436,1067,1995
6,539,0,1978
7,420,1374,2004
7,486,1195,1998
